domain,category
ggpht.com,youtube
googlevideo.com,youtube
jnn-pa.googleapis.com,youtube
returnyoutubedislikeapi.com,youtube
wide-youtube.l.google.com,youtube
youtu.be,youtube
youtube-nocookie.com,youtube
youtube-ui.l.google.com,youtube
youtube.com,youtube
youtubeembeddedplayer.googleapis.com,youtube
youtubei.googleapis.com,youtube
youtubekids.com,youtube
yt-video-upload.l.google.com,youtube
yt.be,youtube
yt3.googleusercontent.com,youtube
ytimg.com,youtube
ytimg.l.google.com,youtube
yting.com,youtube
dis.gd,discord
discord-activities.com,discord
discord-attachments-uploads-prd.storage.googleapis.com,discord
discord.co,discord
discord.com,discord
discord.design,discord
discord.dev,discord
discord.gg,discord
discord.gift,discord
discord.gifts,discord
discord.media,discord
discord.new,discord
discord.store,discord
discord.tools,discord
discordactivities.com,discord
discordapp.com,discord
discordapp.net,discord
discordmerch.com,discord
discordpartygames.com,discord
discordapp.io,discord
discordapp.page.link,discord
discordcdn.com,discord
discordstatus.com,discord
discordsays.com,discord
hammerandchisel.ssl.zendesk.com,discord
cdninstagram.com,meta
circlecrewpinkcrowd.com,meta
facebook.com,meta
facebook.net,meta
fb.com,meta
fbcdn.net,meta
fbsbx.com,meta
ig.me,meta
instagram.com,meta
internalfb.com,meta
meta.com,meta
oculus.com,meta
threads.com,meta
threads.net,meta
wa.me,meta
whatsapp.biz,meta
whatsapp.com,meta
whatsapp.net,meta
cdn-telegram.org,telegram
comments.app,telegram
contest.com,telegram
fragment.com,telegram
graph.org,telegram
quiz.directory,telegram
t.me,telegram
tdesktop.com,telegram
telega.one,telegram
telegra.ph,telegram
telegram-cdn.org,telegram
telegram.dog,telegram
telegram.me,telegram
telegram.org,telegram
telegram.space,telegram
telesco.pe,telegram
tg.dev,telegram
ton.org,telegram
tx.me,telegram
usercontent.dev,telegram
ads-twitter.com,twitter
cms-twdigitalassets.com,twitter
grok.com,twitter
periscope.tv,twitter
pscp.tv,twitter
t.co,twitter
tellapart.com,twitter
tweetdeck.com,twitter
twimg.com,twitter
twitpic.com,twitter
twitter.biz,twitter
twitter.com,twitter
twitter.jp,twitter
twittercommunity.com,twitter
twitterflightschool.com,twitter
twitterinc.com,twitter
twitteroauth.com,twitter
twitterstat.us,twitter
twtrdns.net,twitter
twttr.com,twitter
twttr.net,twitter
twvid.com,twitter
vine.co,twitter
x.ai,twitter
x.com,twitter
ai.google.dev,google-ai
aida.googleapis.com,google-ai
aisandbox-pa.googleapis.com,google-ai
aistudio.google.com,google-ai
antigravity-pa.googleapis.com,google-ai
antigravity-unleash.goog,google-ai
antigravity.google,google-ai
antigravity.googleapis.com,google-ai
bard.google.com,google-ai
clients6.google.com,google-ai
deepmind.com,google-ai
deepmind.google,google-ai
firebaseinstallations.googleapis.com,google-ai
geller-pa.googleapis.com,google-ai
gemini.google,google-ai
gemini.google.com,google-ai
generativeai.google,google-ai
generativelanguage.googleapis.com,google-ai
jules.google,google-ai
jules.google.com,google-ai
labs.google,google-ai
makersuite.google.com,google-ai
notebooklm.google,google-ai
notebooklm.google.com,google-ai
proactivebackend-pa.googleapis.com,google-ai
robinfrontend-pa.googleapis.com,google-ai
speechs3proto2-pa.googleapis.com,google-ai
stitch.withgoogle.com,google-ai
android.clients.google.com,google-play
beacons.gvt2.com,google-play
connectivitycheck.gstatic.com,google-play
googleplay.com,google-play
gvt1.com,google-play
lh3.googleusercontent.com,google-play
play-fe.googleapis.com,google-play
play-games.googleusercontent.com,google-play
play-lh.googleusercontent.com,google-play
play.google.com,google-play
play.googleapis.com,google-play
prod-lt-playstoregatewayadapter-pa.googleapis.com,google-play
hangouts.googleapis.com,google-meet
meet.google.com,google-meet
meetings.clients6.google.com,google-meet
meetings.googleapis.com,google-meet
stream.meet.google.com,google-meet
byteoversea.com,tiktok
ibytedtos.com,tiktok
muscdn.com,tiktok
musical.ly,tiktok
tik-tokapi.com,tiktok
tiktok.com,tiktok
tiktokcdn-eu.com,tiktok
tiktokcdn-us.com,tiktok
tiktokcdn.com,tiktok
tiktokd.net,tiktok
tiktokd.org,tiktok
tiktokv.com,tiktok
tiktokv.eu,tiktok
tiktokv.us,tiktok
tiktokw.us,tiktok
ttwstatic.com,tiktok
hd-rezka.tv,hdrezka
hdrezka.ac,hdrezka
hdrezka.ag,hdrezka
hdrezka.app,hdrezka
hdrezka.me,hdrezka
hdrezka.tech,hdrezka
hdrezka.tv,hdrezka
hdrzk.org,hdrezka
rezka-ua.in,hdrezka
rezka.ag,hdrezka
rezka.cc,hdrezka
rezka.fi,hdrezka
rezka.land,hdrezka
rezka.my,hdrezka
rezka.tv,hdrezka
rezkify.com,hdrezka
voidboost.cc,hdrezka
rbxcdn.com,roblox
rbxinfra.net,roblox
roblox.com,roblox
robloxdev.com,roblox
chatgpt.com,openai
oaiusercontent.com,openai
openai.com,openai
sora.com,openai
anthropic.com,claude
claude.ai,claude
claude.com,claude
3os.org,hodca
acclaimedvideogames.com,hodca
adbappcontrol.com,hodca
ajay.app,hodca
allawnos.com,hodca
alterportal.net,hodca
amazon.com,hodca
amazonaws.com,hodca
aniliberty.top,hodca
archlinux.org,hodca
armbian.com,hodca
armbian.de,hodca
artixlinux.org,hodca
artstation.com,hodca
beamng.com,hodca
beatmods.com,hodca
beatsaver.com,hodca
bitbucket.org,hodca
bitru.org,hodca
bitvise.com,hodca
blackhatworld.com,hodca
britishcouncil.org,hodca
bsmanager.io,hodca
callfilter.app,hodca
capcut.com,hodca
capcutapi.com,hodca
capcutstatic.com,hodca
capcutvod.com,hodca
cdn-lfs-eu-1.hf.co,hodca
cdn-lfs-us-1.hf.co,hodca
cdn-lfs.hf.co,hodca
cdn-lfs.huggingface.co,hodca
cdn-service.space,hodca
cdn.embedly.com,hodca
cdn.polyhaven.com,hodca
cdn.web-global.fds.api.mi-img.com,hodca
cdnjs.com,hodca
check-host.net,hodca
clashverge.dev,hodca
clerk.com,hodca
clerk.dev,hodca
clickup-attachments.com,hodca
cloudflare.com,hodca
cloudflarestatus.com,hodca
cloudflarestorage.com,hodca
cloudfront.net,hodca
cloudns.net,hodca
clubtv.pro,hodca
cochrane.org,hodca
coderabbit.ai,hodca
consensus.app,hodca
convertunits.com,hodca
crdroid.net,hodca
curseforge.com,hodca
customfw.xyz,hodca
d4c.nintendo.net,hodca
desec.io,hodca
dev.to,hodca
digitalocean.com,hodca
discogs.com,hodca
discourse-cdn.com,hodca
dockhand.pro,hodca
dodopayments.com,hodca
dosvid.tk,hodca
dragons.nintendo.net,hodca
drpool.io,hodca
ds-servers.com,hodca
dvprogram.state.gov,hodca
